:START_ID(Customer),:END_ID(Review),:TYPE
LC746,1243,WROTE
AS832,1763,WROTE
LC746,348,WROTE
PA744,635,WROTE
WJ836,1450,WROTE
PA744,1323,WROTE
ZI402,1911,WROTE
HV669,1552,WROTE
YK404,1737,WROTE
KU222,1866,WROTE
UH169,553,WROTE
UH169,402,WROTE
ZS800,1855,WROTE
JE131,1488,WROTE
WJ836,671,WROTE
KU222,1386,WROTE
NZ037,1950,WROTE
PP445,287,WROTE
NZ037,1475,WROTE
ZI402,914,WROTE
CE253,926,WROTE
AT393,1664,WROTE
EP042,1722,WROTE
AT393,91,WROTE
HS034,129,WROTE
RG624,1038,WROTE
YX585,105,WROTE
WW907,204,WROTE
AS832,1683,WROTE
YI042,118,WROTE
TS482,1798,WROTE
WJ836,1027,WROTE
AT393,1474,WROTE
XF175,1260,WROTE
YU657,1648,WROTE
NZ037,6,WROTE
WJ836,772,WROTE
EP042,1825,WROTE
EZ177,1852,WROTE
FG235,1183,WROTE
JL382,1590,WROTE
FO691,1846,WROTE
KM231,1884,WROTE
WJ836,783,WROTE
WX552,5,WROTE
ZG482,738,WROTE
MN973,940,WROTE
VG866,991,WROTE
YR668,1364,WROTE
GG174,830,WROTE
YR668,1172,WROTE
UG538,1661,WROTE
AT393,540,WROTE
NX044,1077,WROTE
ZI402,1526,WROTE
CH892,1603,WROTE
IZ670,7,WROTE
ZS800,1145,WROTE
DZ282,364,WROTE
HV669,921,WROTE
WW907,1366,WROTE
EZ177,174,WROTE
CP557,704,WROTE
KU222,166,WROTE
DZ282,429,WROTE
YK404,538,WROTE
HS034,1351,WROTE
GG174,1981,WROTE
CE253,260,WROTE
WW907,677,WROTE
WX552,1322,WROTE
MO096,1615,WROTE
PA744,1946,WROTE
KU222,1942,WROTE
ME937,313,WROTE
WW907,116,WROTE
RX839,614,WROTE
JL382,536,WROTE
FC851,1655,WROTE
SH357,151,WROTE
HS034,1517,WROTE
EP042,1523,WROTE
FV053,1643,WROTE
TS965,1892,WROTE
DZ282,852,WROTE
XE484,941,WROTE
YR668,1602,WROTE
MW869,1605,WROTE
ZG482,1641,WROTE
TS965,495,WROTE
GG174,572,WROTE
MW869,1928,WROTE
TS965,242,WROTE
VG356,294,WROTE
RX839,1153,WROTE
RX839,1880,WROTE
UJ111,2000,WROTE
XF175,101,WROTE
SF467,235,WROTE
ZS800,1492,WROTE
HB450,1651,WROTE
XF175,172,WROTE
LC746,1178,WROTE
CH892,1357,WROTE
HV669,1635,WROTE
YU657,451,WROTE
OD228,978,WROTE
XE484,1696,WROTE
SH357,1871,WROTE
FO691,191,WROTE
RD903,303,WROTE
FN751,880,WROTE
RX839,1562,WROTE
FC408,1199,WROTE
GM998,1580,WROTE
FO691,1725,WROTE
YR668,351,WROTE
KU222,556,WROTE
MW869,98,WROTE
JF161,1610,WROTE
BZ875,1958,WROTE
XE484,231,WROTE
FN751,995,WROTE
FG235,1544,WROTE
NZ037,717,WROTE
NP027,1058,WROTE
ZS800,1790,WROTE
HB450,43,WROTE
MW869,258,WROTE
YK404,902,WROTE
AS832,376,WROTE
XJ301,810,WROTE
HD935,26,WROTE
WA699,465,WROTE
OD228,1512,WROTE
DZ282,1937,WROTE
XE484,1925,WROTE
UH169,39,WROTE
HS034,428,WROTE
WJ836,1399,WROTE
WX552,99,WROTE
DZ282,748,WROTE
SF467,1630,WROTE
FO691,95,WROTE
UK650,1127,WROTE
OD228,844,WROTE
AS832,883,WROTE
GX313,1515,WROTE
QV674,1811,WROTE
RX839,453,WROTE
HS034,1974,WROTE
MF124,720,WROTE
WJ836,1225,WROTE
OD228,65,WROTE
XF175,933,WROTE
YR668,12,WROTE
ZI402,309,WROTE
FG235,576,WROTE
RG624,764,WROTE
ZG482,798,WROTE
UH169,1389,WROTE
CQ342,165,WROTE
EP042,1576,WROTE
JL382,544,WROTE
HB450,669,WROTE
GM998,939,WROTE
VG356,1146,WROTE
WA699,1016,WROTE
SH357,16,WROTE
NP027,312,WROTE
XC404,1009,WROTE
IZ670,1134,WROTE
UX006,1431,WROTE
NP027,1766,WROTE
GM998,1829,WROTE
NZ037,255,WROTE
XE484,306,WROTE
HB450,1429,WROTE
GL585,956,WROTE
CP557,1652,WROTE
YR668,330,WROTE
KU222,1772,WROTE
SP499,1890,WROTE
NX044,136,WROTE
OD228,355,WROTE
BA641,468,WROTE
PW133,1410,WROTE
SG571,619,WROTE
VG356,735,WROTE
QV674,1509,WROTE
MW869,604,WROTE
SG571,917,WROTE
JL382,1609,WROTE
ZI402,1057,WROTE
OP489,9,WROTE
SG571,964,WROTE
BZ875,1682,WROTE
OD228,329,WROTE
CQ342,347,WROTE
NZ037,718,WROTE
KM231,1597,WROTE
DZ282,1670,WROTE
CQ342,639,WROTE
HD935,1401,WROTE
WA699,234,WROTE
XF063,1019,WROTE
WJ836,1374,WROTE
RX839,1977,WROTE
BI779,239,WROTE
CQ342,262,WROTE
CH892,279,WROTE
SP499,647,WROTE
RX839,413,WROTE
CE253,1466,WROTE
JF161,1267,WROTE
KU222,1307,WROTE
FH577,1629,WROTE
ME937,1753,WROTE
PP445,1917,WROTE
GG174,1025,WROTE
OP489,1711,WROTE
FN751,1843,WROTE
NX044,1888,WROTE
KU222,663,WROTE
ET664,976,WROTE
OP489,1543,WROTE
XE484,268,WROTE
FC408,334,WROTE
MO096,716,WROTE
EZ177,1620,WROTE
NP027,206,WROTE
ZG482,1099,WROTE
CQ342,1314,WROTE
GL585,586,WROTE
RG624,871,WROTE
GH966,952,WROTE
EP042,1007,WROTE
GG174,1717,WROTE
PD136,88,WROTE
YX585,1245,WROTE
EP042,1504,WROTE
AT393,1568,WROTE
CH892,1545,WROTE
MO096,78,WROTE
FC851,1919,WROTE
FC851,1959,WROTE
GL585,1765,WROTE
ZI402,963,WROTE
RG624,1185,WROTE
WA699,1669,WROTE
UK650,1740,WROTE
RG624,1944,WROTE
TS965,1921,WROTE
XK740,479,WROTE
UJ111,356,WROTE
FV053,1783,WROTE
PP445,1109,WROTE
TS965,1421,WROTE
WJ836,102,WROTE
WW907,661,WROTE
JE131,814,WROTE
BI779,1084,WROTE
NP027,1416,WROTE
XF063,1992,WROTE
KM231,19,WROTE
JE131,1757,WROTE
SG571,69,WROTE
KM231,866,WROTE
PP445,1045,WROTE
GM998,1090,WROTE
FH577,1569,WROTE
RX839,1678,WROTE
OP489,1858,WROTE
WA699,713,WROTE
RG624,1201,WROTE
UH169,1895,WROTE
TS965,685,WROTE
AT393,777,WROTE
WX552,1398,WROTE
VG866,1632,WROTE
HC500,1845,WROTE
QV674,216,WROTE
SF467,608,WROTE
PW133,1975,WROTE
WX552,61,WROTE
KU222,1894,WROTE
BI779,73,WROTE
NP027,184,WROTE
WA699,196,WROTE
SH357,765,WROTE
YI042,1435,WROTE
UJ111,1659,WROTE
HC500,1681,WROTE
KU222,1439,WROTE
QV674,1487,WROTE
HD935,271,WROTE
UX006,263,WROTE
MF124,455,WROTE
GL585,345,WROTE
FG235,723,WROTE
AS832,1714,WROTE
FG235,1743,WROTE
JF161,1259,WROTE
CE253,122,WROTE
DZ282,1593,WROTE
FG235,1637,WROTE
CH892,415,WROTE
QV674,54,WROTE
HV669,236,WROTE
HD935,1481,WROTE
YX585,1966,WROTE
CE253,35,WROTE
UG538,581,WROTE
XK740,789,WROTE
YU657,1440,WROTE
UG241,1534,WROTE
AT393,301,WROTE
XF175,1640,WROTE
VG866,254,WROTE
UK650,1031,WROTE
BM923,1052,WROTE
VG356,1791,WROTE
XJ301,179,WROTE
UG538,1271,WROTE
YX585,87,WROTE
BI779,642,WROTE
UJ111,682,WROTE
FN751,791,WROTE
SG571,959,WROTE
FC408,1248,WROTE
LC746,571,WROTE
RX839,1068,WROTE
JF161,1585,WROTE
GX313,1923,WROTE
CE253,1182,WROTE
YK404,1339,WROTE
SG571,1540,WROTE
RD903,599,WROTE
ME427,922,WROTE
HB450,950,WROTE
HD935,992,WROTE
FC851,112,WROTE
BI779,346,WROTE
FC851,621,WROTE
HC500,1836,WROTE
IZ670,1003,WROTE
PA744,293,WROTE
SF467,873,WROTE
UE097,918,WROTE
ZS800,1657,WROTE
NP027,1841,WROTE
PP445,1138,WROTE
FV053,1426,WROTE
ZS800,106,WROTE
CP557,822,WROTE
AS968,894,WROTE
BM923,1231,WROTE
WM652,1516,WROTE
YX585,459,WROTE
AT393,1076,WROTE
WJ836,1321,WROTE
AS832,212,WROTE
PD136,441,WROTE
YK404,821,WROTE
YR668,1242,WROTE
ZS800,1672,WROTE
FO691,695,WROTE
NX044,1801,WROTE
YX585,1181,WROTE
OD228,1614,WROTE
RD903,1998,WROTE
AS968,409,WROTE
CP557,1345,WROTE
DZ282,770,WROTE
JF161,1789,WROTE
YR668,36,WROTE
HV669,173,WROTE
FC851,665,WROTE
SP499,761,WROTE
YR668,472,WROTE
CQ342,1053,WROTE
OD228,1337,WROTE
UX006,1595,WROTE
RG624,1756,WROTE
BA641,244,WROTE
XJ301,296,WROTE
JE131,431,WROTE
JE131,354,WROTE
GH966,603,WROTE
FO691,1720,WROTE
HC500,539,WROTE
UG538,693,WROTE
HV669,984,WROTE
UK650,1012,WROTE
WA699,1695,WROTE
FA748,1706,WROTE
RD903,34,WROTE
GG174,505,WROTE
RG624,1423,WROTE
BI779,1514,WROTE
FC408,1594,WROTE
XE484,1638,WROTE
GM998,85,WROTE
SH357,1358,WROTE
XK740,1634,WROTE
SH357,124,WROTE
MN973,757,WROTE
SH357,1111,WROTE
GL585,927,WROTE
BZ875,290,WROTE
YU657,485,WROTE
KU222,799,WROTE
ZI402,1533,WROTE
WJ836,714,WROTE
JF161,1430,WROTE
AS968,707,WROTE
AS968,1208,WROTE
XE484,230,WROTE
LC746,233,WROTE
WJ836,1619,WROTE
FC408,240,WROTE
PA744,491,WROTE
XF063,1107,WROTE
QV674,1223,WROTE
FC851,1979,WROTE
NP027,383,WROTE
JF161,421,WROTE
NZ037,675,WROTE
FO691,289,WROTE
GD537,1169,WROTE
VG356,160,WROTE
KM231,170,WROTE
YI042,299,WROTE
BI779,1196,WROTE
HD935,1240,WROTE
UE097,1280,WROTE
FC408,1356,WROTE
BB289,1538,WROTE
FN751,535,WROTE
MN973,744,WROTE
MW869,1819,WROTE
VG866,1485,WROTE
WW907,1736,WROTE
SG571,266,WROTE
OP489,481,WROTE
ZS800,561,WROTE
MF124,587,WROTE
TS482,731,WROTE
WM652,1219,WROTE
DZ282,1412,WROTE
RX839,1793,WROTE
RG624,286,WROTE
OP489,551,WROTE
CP557,1206,WROTE
BI779,1282,WROTE
YK404,1644,WROTE
CH892,501,WROTE
WM652,1192,WROTE
HV669,1548,WROTE
GG174,630,WROTE
EZ177,1249,WROTE
HS034,1827,WROTE
GG174,475,WROTE
XS318,759,WROTE
XF175,1377,WROTE
KM231,324,WROTE
GH966,929,WROTE
MW869,1732,WROTE
XK740,55,WROTE
JF161,450,WROTE
ME937,1599,WROTE
PP445,27,WROTE
HS034,592,WROTE
JL382,878,WROTE
PA744,602,WROTE
OP489,1124,WROTE
UE097,1500,WROTE
XE484,380,WROTE
TS965,414,WROTE
NP027,1535,WROTE
ZS800,1873,WROTE
FA748,435,WROTE
FN751,1018,WROTE
JF161,1063,WROTE
SP499,1354,WROTE
PD136,1378,WROTE
UK650,905,WROTE
VG356,1128,WROTE
CQ342,1773,WROTE
MW869,82,WROTE
LC746,681,WROTE
GD537,1149,WROTE
YK404,1170,WROTE
AT393,574,WROTE
ZI402,595,WROTE
CP557,982,WROTE
JL382,202,WROTE
JE131,1570,WROTE
BA641,687,WROTE
FN751,751,WROTE
HV669,897,WROTE
RX839,1296,WROTE
MN973,1687,WROTE
HD935,1782,WROTE
EZ177,372,WROTE
HB450,375,WROTE
LM896,1251,WROTE
BZ875,1346,WROTE
RG624,1390,WROTE
UX006,1554,WROTE
HV669,251,WROTE
CH892,767,WROTE
BB289,881,WROTE
CQ342,1079,WROTE
FC851,1826,WROTE
FO691,387,WROTE
XJ301,580,WROTE
PD136,1043,WROTE
XC404,1930,WROTE
LM896,673,WROTE
VG356,1419,WROTE
FO691,885,WROTE
WX552,977,WROTE
UJ111,365,WROTE
UX006,559,WROTE
DZ282,643,WROTE
XF063,737,WROTE
XF175,1326,WROTE
CP557,269,WROTE
ME427,909,WROTE
YK404,1069,WROTE
XF063,1881,WROTE
HB450,197,WROTE
BM923,1073,WROTE
JL382,407,WROTE
UH169,788,WROTE
MN973,1896,WROTE
XF175,762,WROTE
SF467,1097,WROTE
BM923,1886,WROTE
XF063,28,WROTE
QV674,606,WROTE
MO096,1382,WROTE
UJ111,1566,WROTE
FV053,509,WROTE
NX044,1733,WROTE
UG241,1820,WROTE
JL382,427,WROTE
GM998,662,WROTE
PP445,1093,WROTE
XE484,1352,WROTE
SG571,1596,WROTE
BM923,1904,WROTE
KM231,305,WROTE
UG538,189,WROTE
XS318,492,WROTE
UG538,1155,WROTE
RD903,1,WROTE
MN973,631,WROTE
UJ111,1476,WROTE
QV674,1582,WROTE
GL585,1767,WROTE
XF063,1427,WROTE
ZI402,1626,WROTE
NX044,1141,WROTE
FO691,1442,WROTE
NZ037,486,WROTE
HV669,616,WROTE
UK650,1755,WROTE
LC746,1776,WROTE
ZS800,1106,WROTE
FC408,1586,WROTE
ZB457,1588,WROTE
FO691,1349,WROTE
NP027,1844,WROTE
HC500,207,WROTE
LM896,478,WROTE
YR668,1446,WROTE
FG235,529,WROTE
SF467,773,WROTE
QV674,419,WROTE
JF161,489,WROTE
BB289,610,WROTE
UX006,546,WROTE
WM652,782,WROTE
RX839,1189,WROTE
AS832,549,WROTE
GM998,1258,WROTE
WJ836,970,WROTE
YR668,1049,WROTE
VG356,1137,WROTE
EP042,1017,WROTE
CQ342,1362,WROTE
XK740,1649,WROTE
ZS800,439,WROTE
QV674,1102,WROTE
GD537,1584,WROTE
PW133,154,WROTE
CQ342,168,WROTE
ZI402,860,WROTE
ET664,245,WROTE
GG174,281,WROTE
JF161,1283,WROTE
BB289,280,WROTE
ZB457,405,WROTE
LM896,1506,WROTE
HV669,1787,WROTE
HB450,776,WROTE
DZ282,1489,WROTE
FG235,238,WROTE
YU657,1759,WROTE
QV674,983,WROTE
HS034,1821,WROTE
VG356,690,WROTE
UG241,882,WROTE
AT393,1897,WROTE
FV053,1988,WROTE
NZ037,194,WROTE
CE253,548,WROTE
ET664,593,WROTE
XC404,93,WROTE
GX313,507,WROTE
PW133,812,WROTE
WM652,937,WROTE
WM652,288,WROTE
AS832,1270,WROTE
HC500,388,WROTE
IZ670,831,WROTE
NZ037,1383,WROTE
GG174,686,WROTE
EZ177,147,WROTE
UG241,340,WROTE
YI042,1008,WROTE
KM231,1301,WROTE
HV669,1522,WROTE
BB289,83,WROTE
XS318,476,WROTE
OD228,1511,WROTE
WJ836,1486,WROTE
MN973,1693,WROTE
WJ836,578,WROTE
CE253,694,WROTE
UE097,1139,WROTE
XF175,1792,WROTE
GG174,1857,WROTE
HV669,1961,WROTE
XK740,426,WROTE
VG356,936,WROTE
ET664,613,WROTE
FG235,1237,WROTE
SG571,1433,WROTE
ME937,1667,WROTE
SP499,850,WROTE
UX006,1117,WROTE
UG538,1704,WROTE
GM998,66,WROTE
YU657,121,WROTE
TS965,1875,WROTE
UE097,38,WROTE
EP042,283,WROTE
GM998,1804,WROTE
WW907,1964,WROTE
MN973,97,WROTE
DZ282,464,WROTE
GX313,615,WROTE
BZ875,1040,WROTE
UE097,1748,WROTE
ZI402,1859,WROTE
XC404,467,WROTE
UJ111,1121,WROTE
GH966,1837,WROTE
CP557,624,WROTE
WX552,721,WROTE
PA744,1818,WROTE
JL382,64,WROTE
HD935,1420,WROTE
HB450,84,WROTE
BA641,241,WROTE
XK740,477,WROTE
CP557,947,WROTE
CH892,1268,WROTE
HC500,1407,WROTE
WX552,1823,WROTE
WX552,111,WROTE
XS318,1742,WROTE
HC500,1885,WROTE
MW869,1887,WROTE
PA744,699,WROTE
UG538,1780,WROTE
CH892,1578,WROTE
MF124,42,WROTE
HD935,652,WROTE
ME937,1320,WROTE
HD935,1862,WROTE
SF467,836,WROTE
TS965,1133,WROTE
CQ342,1315,WROTE
PP445,1899,WROTE
FH577,461,WROTE
UX006,499,WROTE
BB289,1432,WROTE
BI779,1445,WROTE
PW133,146,WROTE
OP489,924,WROTE
KG442,1317,WROTE
BM923,1464,WROTE
YU657,1973,WROTE
XJ301,20,WROTE
ME937,220,WROTE
JF161,278,WROTE
PA744,399,WROTE
ZS800,1160,WROTE
ME427,1355,WROTE
FV053,1771,WROTE
UJ111,1118,WROTE
PP445,1952,WROTE
XF063,732,WROTE
WJ836,874,WROTE
OP489,1239,WROTE
GL585,1460,WROTE
WA699,357,WROTE
ME937,1556,WROTE
PW133,1741,WROTE
WA699,1943,WROTE
EP042,24,WROTE
VG356,521,WROTE
BZ875,1591,WROTE
BA641,394,WROTE
CP557,526,WROTE
RX839,552,WROTE
WW907,942,WROTE
VG866,490,WROTE
FC408,504,WROTE
JE131,1715,WROTE
SH357,1949,WROTE
GX313,1985,WROTE
AT393,627,WROTE
UJ111,650,WROTE
GL585,888,WROTE
CP557,1033,WROTE
CP557,406,WROTE
TS482,418,WROTE
WX552,564,WROTE
UJ111,934,WROTE
HV669,1029,WROTE
RG624,1151,WROTE
QV674,1542,WROTE
GL585,1797,WROTE
GM998,117,WROTE
TS482,1541,WROTE
HB450,1256,WROTE
MO096,1707,WROTE
NX044,183,WROTE
PP445,741,WROTE
XJ301,843,WROTE
FH577,566,WROTE
NP027,1574,WROTE
JF161,668,WROTE
MO096,923,WROTE
XF175,1409,WROTE
MN973,210,WROTE
UG241,264,WROTE
GH966,957,WROTE
WJ836,1035,WROTE
XK740,1246,WROTE
VG356,1376,WROTE
RD903,859,WROTE
XS318,1234,WROTE
GX313,331,WROTE
DZ282,1214,WROTE
JE131,1521,WROTE
TS965,1738,WROTE
KU222,1891,WROTE
MW869,126,WROTE
YR668,589,WROTE
KG442,600,WROTE
SG571,1272,WROTE
SP499,1387,WROTE
UG241,341,WROTE
LM896,1167,WROTE
XF175,1589,WROTE
LM896,1831,WROTE
ME427,815,WROTE
YK404,594,WROTE
XK740,1907,WROTE
FC408,1927,WROTE
HB450,808,WROTE
FG235,100,WROTE
CQ342,1278,WROTE
CQ342,1978,WROTE
ME427,123,WROTE
HV669,169,WROTE
YK404,954,WROTE
BI779,1026,WROTE
UX006,1085,WROTE
ZB457,1142,WROTE
ET664,1799,WROTE
GG174,1903,WROTE
KU222,444,WROTE
GX313,898,WROTE
YR668,1565,WROTE
RD903,1934,WROTE
HS034,412,WROTE
YI042,155,WROTE
VG356,180,WROTE
WW907,292,WROTE
TS482,828,WROTE
MO096,1813,WROTE
EP042,1363,WROTE
LM896,1371,WROTE
PW133,1779,WROTE
XF063,1348,WROTE
GX313,1507,WROTE
GL585,1984,WROTE
PP445,919,WROTE
GM998,156,WROTE
NX044,1148,WROTE
KM231,1300,WROTE
UE097,49,WROTE
DZ282,487,WROTE
ZS800,1005,WROTE
FO691,1802,WROTE
WJ836,676,WROTE
PW133,829,WROTE
MF124,1013,WROTE
GM998,820,WROTE
SF467,863,WROTE
XS318,974,WROTE
YR668,1290,WROTE
HV669,1501,WROTE
KG442,285,WROTE
RG624,328,WROTE
AT393,712,WROTE
UK650,972,WROTE
UG538,1095,WROTE
TS965,128,WROTE
YU657,1453,WROTE
LC746,1728,WROTE
AT393,336,WROTE
XF175,1269,WROTE
MW869,1642,WROTE
EZ177,484,WROTE
SP499,554,WROTE
FG235,910,WROTE
CE253,1010,WROTE
YR668,110,WROTE
WM652,1241,WROTE
HB450,1291,WROTE
BM923,811,WROTE
HB450,1247,WROTE
UE097,1344,WROTE
MW869,343,WROTE
NP027,363,WROTE
GL585,1872,WROTE
IZ670,597,WROTE
DZ282,1305,WROTE
XE484,1926,WROTE
MN973,186,WROTE
EX753,1636,WROTE
GX313,1684,WROTE
PW133,397,WROTE
XJ301,824,WROTE
IZ670,994,WROTE
CP557,1697,WROTE
NZ037,284,WROTE
NP027,582,WROTE
GM998,948,WROTE
XS318,1197,WROTE
BM923,1470,WROTE
WX552,70,WROTE
HV669,907,WROTE
BI779,1088,WROTE
HD935,518,WROTE
YR668,908,WROTE
SP499,1333,WROTE
ZB457,786,WROTE
RD903,164,WROTE
WW907,217,WROTE
UK650,298,WROTE
UH169,462,WROTE
NX044,537,WROTE
DZ282,530,WROTE
UG241,1479,WROTE
BI779,832,WROTE
FO691,945,WROTE
GH966,1082,WROTE
AT393,1713,WROTE
WJ836,1482,WROTE
JL382,1621,WROTE
NP027,23,WROTE
AS968,754,WROTE
UX006,901,WROTE
XF063,1604,WROTE
FH577,1675,WROTE
WW907,1997,WROTE
XF063,371,WROTE
UE097,411,WROTE
WM652,1159,WROTE
SG571,167,WROTE
AS832,63,WROTE
FG235,86,WROTE
MO096,1633,WROTE
UH169,622,WROTE
HB450,640,WROTE
ZB457,1520,WROTE
CH892,1055,WROTE
MN973,1228,WROTE
XK740,915,WROTE
GL585,1342,WROTE
BZ875,480,WROTE
FC408,868,WROTE
VG866,1212,WROTE
GD537,1318,WROTE
FO691,1119,WROTE
YR668,8,WROTE
YU657,314,WROTE
BA641,1136,WROTE
ME937,1232,WROTE
VG866,1396,WROTE
UE097,403,WROTE
LM896,653,WROTE
EX753,827,WROTE
YX585,1499,WROTE
PD136,1953,WROTE
WA699,103,WROTE
XC404,108,WROTE
KG442,373,WROTE
LM896,273,WROTE
BA641,1671,WROTE
OP489,660,WROTE
BB289,1101,WROTE
PW133,1227,WROTE
FA748,1200,WROTE
CH892,1865,WROTE
LM896,497,WROTE
PD136,524,WROTE
KU222,1075,WROTE
VG356,876,WROTE
RD903,1625,WROTE
BM923,1677,WROTE
LC746,1879,WROTE
JF161,646,WROTE
YK404,1860,WROTE
GX313,835,WROTE
DZ282,1163,WROTE
GX313,175,WROTE
XS318,1325,WROTE
FC408,1840,WROTE
KU222,46,WROTE
JE131,654,WROTE
FO691,807,WROTE
MW869,1156,WROTE
IZ670,1304,WROTE
UJ111,1877,WROTE
WM652,1473,WROTE
NP027,715,WROTE
ZI402,315,WROTE
PP445,1126,WROTE
VG866,1310,WROTE
GH966,1477,WROTE
TS965,1601,WROTE
TS482,158,WROTE
FG235,755,WROTE
ET664,611,WROTE
RX839,875,WROTE
YR668,1350,WROTE
GL585,1418,WROTE
BM923,774,WROTE
HC500,1679,WROTE
BA641,819,WROTE
SF467,1072,WROTE
NZ037,1184,WROTE
ME427,109,WROTE
JE131,205,WROTE
IZ670,965,WROTE
EX753,1096,WROTE
KG442,81,WROTE
AS968,1048,WROTE
RG624,1238,WROTE
UG538,1404,WROTE
ZB457,1530,WROTE
HD935,1834,WROTE
NZ037,943,WROTE
SF467,708,WROTE
AS968,745,WROTE
RD903,1842,WROTE
WA699,719,WROTE
GM998,1060,WROTE
WA699,1912,WROTE
ZS800,58,WROTE
HS034,432,WROTE
XF063,1265,WROTE
ZG482,1848,WROTE
SP499,1987,WROTE
KM231,1524,WROTE
UX006,430,WROTE
KG442,1945,WROTE
BM923,3,WROTE
